#              x        Density              u              v              p           Mach
  -0.500000        4.00000        1.00000        0.00000       0.714286        2.00000    
  -0.466700        4.00000        1.00000        0.00000       0.714285        2.00000    
  -0.433300        3.99954       0.999927        0.00000       0.714286        1.99974    
  -0.400000        4.00062        1.00009        0.00000       0.714289        2.00034    
  -0.366700        4.00047        1.00007        0.00000       0.714289        2.00025    
  -0.333300        4.00025        1.00004        0.00000       0.714288        2.00014    
  -0.300000        3.99879       0.999808        0.00000       0.714288        1.99931    
  -0.266700        3.99918       0.999870        0.00000       0.714288        1.99953    
  -0.233300        3.99864       0.999786        0.00000       0.714287        1.99923    
  -0.200000        3.99704       0.999532        0.00000       0.714292        1.99831    
  -0.166700        4.00195        1.00029        0.00000       0.714299        2.00106    
  -0.133300        4.00466        1.00071        0.00000       0.714307        2.00255    
  -0.100000        4.00025       0.999997        0.00000       0.714333        1.99999    
  -0.666700E-01    4.00006       0.999913        0.00000       0.714395        1.99969    
  -0.333300E-01    3.99781       0.999968        0.00000       0.713930        1.99989    
    0.00000        4.15009       0.973370       0.735910E-01   0.772113        1.91267    
   0.250000E-01    4.53127       0.910641       0.160637       0.918317        1.73600    
   0.500000E-01    4.94453       0.870079       0.153482        1.05742        1.61468    
   0.750000E-01    5.25462       0.852883       0.150448        1.14711        1.56656    
   0.100000        5.45915       0.849917       0.149925        1.19606        1.55830    
   0.125000        5.58388       0.854823       0.150791        1.21690        1.57147    
   0.150000        5.64579       0.860583       0.151807        1.22259        1.58710    
   0.175000        5.68355       0.866826       0.152908        1.22213        1.60425    
   0.200000        5.70131       0.870851       0.153618        1.22038        1.61538    
   0.225000        5.71528       0.873833       0.154144        1.21921        1.62367    
   0.250000        5.72078       0.874892       0.154331        1.21895        1.62660    
   0.275000        5.72850       0.875853       0.154501        1.21925        1.62928    
   0.300000        5.72954       0.875696       0.154473        1.21973        1.62881    
   0.325000        5.73429       0.876135       0.154550        1.22011        1.63005    
   0.350000        5.73270       0.875753       0.154483        1.22033        1.62897    
   0.375000        5.73620       0.876215       0.154564        1.22041        1.63027    
   0.400000        5.73368       0.875813       0.154493        1.22045        1.62914    
   0.425000        5.73784       0.876351       0.154588        1.22055        1.63066    
   0.450000        5.73702       0.875934       0.154515        1.22098        1.62948    
   0.475000        5.73302       0.874137       0.154198        1.22278        1.62438    
   0.500000        4.96475       0.935680        0.00000       0.983772        1.77650    
   0.525000        3.87826        1.00825      -0.177855       0.691192        2.04963    
   0.550000        3.21702        1.06565      -0.187981       0.525817        2.26211    
   0.575000        2.86877        1.08763      -0.191857       0.452480        2.35027    
   0.600000        2.66609        1.08872      -0.192050       0.420692        2.35212    
   0.625000        2.55476        1.08302      -0.191045       0.407804        2.32635    
   0.650000        2.48287        1.07347      -0.189360       0.403445        2.28542    
   0.675000        2.44513        1.06611      -0.188061       0.402524        2.25500    
   0.700000        2.41727        1.05929      -0.186859       0.402684        2.22734    
   0.725000        2.40213        1.05522      -0.186142       0.402903        2.21123    
   0.750000        2.39013        1.05228      -0.185622       0.402862        2.19965    
   0.775000        2.39080        1.05274      -0.185703       0.402550        2.20177    
   0.800000        2.38621        1.05226      -0.185618       0.402086        2.19992    
   0.825000        2.38614        1.05289      -0.185730       0.401588        2.20258    
   0.850000        2.38169        1.05244      -0.185651       0.401139        2.20081    
   0.875000        2.37502        1.05131      -0.185451       0.400782        2.19634    
   0.900000        2.37273        1.05106      -0.185407       0.400521        2.19547    
   0.925000        2.37335        1.05138      -0.185464       0.400346        2.19692    
   0.950000        2.37560        1.05198      -0.185570       0.400243        2.19950    
   0.975000        2.37902        1.05197      -0.185568       0.400724        2.19974    
    1.00000        2.57153        1.03804      -0.789266E-01   0.440900        2.12484    
    1.03300        2.92230       0.985181        0.00000       0.540613        1.93585    
    1.06700        3.24632       0.952181        0.00000       0.627758        1.83002    
    1.10000        3.46475       0.940708        0.00000       0.679858        1.79481    
    1.13300        3.59793       0.940450        0.00000       0.705911        1.79441    
    1.16700        3.68223       0.947064        0.00000       0.715758        1.81546    
    1.20000        3.75336       0.958544        0.00000       0.717792        1.85250    
    1.23300        3.74876       0.958058        0.00000       0.717380        1.85096    
    1.26700        3.75300       0.959474        0.00000       0.716728        1.85559    
    1.30000        3.75838       0.960718        0.00000       0.716476        1.85965    
    1.33300        3.79580       0.967443        0.00000       0.716591        1.88182    
    1.36700        3.79224       0.966580        0.00000       0.716850        1.87892    
    1.40000        3.78578       0.965268        0.00000       0.717046        1.87451    
    1.43300        3.77700       0.963796        0.00000       0.716998        1.86954    
    1.46700        3.77077       0.963168        0.00000       0.716599        1.86730    
    1.50000        3.77057       0.963202        0.00000       0.716541        1.86740    
