#              x        Density              u              v              p           Mach
  -0.500000        4.00000        1.00000        0.00000       0.714286        2.00000    
  -0.466700        4.00000        1.00000        0.00000       0.714285        2.00000    
  -0.433300        3.99953       0.999927        0.00000       0.714285        1.99974    
  -0.400000        4.00092        1.00014        0.00000       0.714288        2.00051    
  -0.366700        4.00001        1.00000        0.00000       0.714288        2.00000    
  -0.333300        4.00002        1.00000        0.00000       0.714287        2.00001    
  -0.300000        3.99868       0.999792        0.00000       0.714288        1.99925    
  -0.266700        4.00003        1.00000        0.00000       0.714288        2.00001    
  -0.233300        3.99906       0.999851        0.00000       0.714288        1.99946    
  -0.200000        3.99787       0.999659        0.00000       0.714295        1.99877    
  -0.166700        4.00374        1.00057        0.00000       0.714296        2.00207    
  -0.133300        4.00312        1.00047        0.00000       0.714310        2.00168    
  -0.100000        3.99752       0.999565        0.00000       0.714340        1.99844    
  -0.666700E-01    4.00074        1.00000        0.00000       0.714416        2.00000    
  -0.333300E-01    3.99694       0.999995        0.00000       0.713744        1.99998    
    0.00000        4.15774       0.971486       0.734485E-01   0.775686        1.90632    
   0.250000E-01    4.61386       0.917835       0.161906       0.924146        1.76002    
   0.500000E-01    5.18900       0.873367       0.154062        1.09867        1.62890    
   0.750000E-01    5.59644       0.855025       0.150826        1.21094        1.57748    
   0.100000        5.69640       0.860505       0.151793        1.22600        1.59184    
   0.125000        5.73296       0.869915       0.153453        1.22060        1.61797    
   0.150000        5.74332       0.874275       0.154222        1.21652        1.63027    
   0.175000        5.75988       0.876830       0.154673        1.21632        1.63753    
   0.200000        5.76680       0.875384       0.154418        1.22013        1.63325    
   0.225000        5.77031       0.876043       0.154534        1.22002        1.63505    
   0.250000        5.76592       0.875570       0.154451        1.22014        1.63346    
   0.275000        5.76904       0.876352       0.154588        1.21969        1.63567    
   0.300000        5.76533       0.875661       0.154467        1.22011        1.63357    
   0.325000        5.76842       0.876414       0.154599        1.21971        1.63569    
   0.350000        5.76409       0.875686       0.154471        1.22017        1.63340    
   0.375000        5.76672       0.876630       0.154637        1.21968        1.63587    
   0.400000        5.76295       0.875622       0.154460        1.22013        1.63315    
   0.425000        5.76777       0.876613       0.154635        1.21998        1.63579    
   0.450000        5.75763       0.877481       0.154788        1.22052        1.63560    
   0.475000        5.75832       0.873863       0.154149        1.22318        1.62718    
   0.500000        4.93513       0.941023        0.00000       0.970733        1.79323    
   0.525000        3.66741        1.03002      -0.181696       0.629327        2.13392    
   0.550000        2.98583        1.05284      -0.185722       0.490760        2.22870    
   0.575000        2.66635        1.04315      -0.184012       0.449449        2.18050    
   0.600000        2.55281        1.04390      -0.184143       0.427136        2.19015    
   0.625000        2.46506        1.04302      -0.183988       0.419190        2.17065    
   0.650000        2.40906        1.03892      -0.183266       0.409016        2.16384    
   0.675000        2.39166        1.03880      -0.183244       0.405247        2.16577    
   0.700000        2.37593        1.03623      -0.182791       0.404362        2.15565    
   0.725000        2.37223        1.03653      -0.182844       0.403501        2.15689    
   0.750000        2.36690        1.03613      -0.182774       0.402848        2.15538    
   0.775000        2.37374        1.03849      -0.183189       0.402347        2.16475    
   0.800000        2.36886        1.03788      -0.183082       0.401901        2.16245    
   0.825000        2.37148        1.03873      -0.183232       0.401748        2.16583    
   0.850000        2.36931        1.03879      -0.183243       0.401271        2.16626    
   0.875000        2.36502        1.03785      -0.183077       0.401193        2.16254    
   0.900000        2.36917        1.03946      -0.183361       0.400719        2.16908    
   0.925000        2.36899        1.03951      -0.183369       0.400656        2.16927    
   0.950000        2.37519        1.04175      -0.183765       0.400044        2.17846    
   0.975000        2.34561        1.04039      -0.183526       0.400039        2.16205    
    1.00000        2.53105        1.02493      -0.779297E-01   0.442116        2.07856    
    1.03300        2.94898       0.982748        0.00000       0.544430        1.93305    
    1.06700        3.35989       0.952792        0.00000       0.648251        1.83326    
    1.10000        3.58231       0.942581        0.00000       0.700414        1.80160    
    1.13300        3.65783       0.950497        0.00000       0.708281        1.82556    
    1.16700        3.69277       0.960062        0.00000       0.706079        1.85560    
    1.20000        3.72517       0.969710        0.00000       0.703216        1.88628    
    1.23300        3.66569       0.960477        0.00000       0.701182        1.85603    
    1.26700        3.66958       0.968134        0.00000       0.696265        1.87842    
    1.30000        3.65955       0.969881        0.00000       0.693702        1.88270    
    1.33300        3.67970       0.978030        0.00000       0.690328        1.90839    
    1.36700        3.63898       0.973152        0.00000       0.688341        1.89106    
    1.40000        3.62318       0.976348        0.00000       0.683018        1.90051    
    1.43300        3.60970       0.978322        0.00000       0.680162        1.90479    
    1.46700        3.59964       0.980340        0.00000       0.677444        1.90988    
    1.50000        3.59949       0.980367        0.00000       0.677404        1.90995    
