#              x        Density              u              v              p           Mach
  -0.500000        4.00000        1.00000        0.00000       0.714286        2.00000    
  -0.466700        4.00000        1.00000        0.00000       0.714285        2.00000    
  -0.433300        3.99953       0.999927        0.00000       0.714285        1.99974    
  -0.400000        4.00092        1.00014        0.00000       0.714288        2.00051    
  -0.366700        4.00001        1.00000        0.00000       0.714288        2.00000    
  -0.333300        4.00002        1.00000        0.00000       0.714287        2.00001    
  -0.300000        3.99868       0.999792        0.00000       0.714288        1.99925    
  -0.266700        4.00003        1.00000        0.00000       0.714288        2.00001    
  -0.233300        3.99906       0.999851        0.00000       0.714288        1.99946    
  -0.200000        3.99787       0.999659        0.00000       0.714295        1.99877    
  -0.166700        4.00374        1.00057        0.00000       0.714296        2.00207    
  -0.133300        4.00312        1.00047        0.00000       0.714310        2.00168    
  -0.100000        3.99752       0.999565        0.00000       0.714340        1.99844    
  -0.666700E-01    4.00074        1.00000        0.00000       0.714416        2.00000    
  -0.333300E-01    3.99694       0.999995        0.00000       0.713744        1.99998    
    0.00000        4.15774       0.971486       0.734485E-01   0.775686        1.90632    
   0.250000E-01    4.61392       0.917898       0.161917       0.924092        1.76020    
   0.500000E-01    5.18929       0.873287       0.154048        1.09881        1.62869    
   0.750000E-01    5.59651       0.854993       0.150821        1.21099        1.57740    
   0.100000        5.69633       0.860501       0.151792        1.22598        1.59183    
   0.125000        5.73284       0.869904       0.153451        1.22058        1.61794    
   0.150000        5.74317       0.874559       0.154272        1.21619        1.63100    
   0.175000        5.76084       0.876423       0.154601        1.21702        1.63643    
   0.200000        5.76668       0.875336       0.154409        1.22020        1.63310    
   0.225000        5.76823       0.876484       0.154612        1.21959        1.63587    
   0.250000        5.75927       0.876942       0.154692        1.21847        1.63620    
   0.275000        5.75452       0.878853       0.155030        1.21564        1.64100    
   0.300000        5.74068       0.880217       0.155270        1.21206        1.64399    
   0.325000        5.73183       0.883125       0.155783        1.20703        1.65158    
   0.350000        5.70546       0.885450       0.156193        1.20144        1.65595    
   0.375000        5.67588       0.888883       0.156799        1.19523        1.66236    
   0.400000        5.64391       0.893117       0.157546        1.18612        1.67195    
   0.425000        5.61005       0.896357       0.158117        1.17309        1.68224    
   0.450000        5.54618       0.897275       0.158279        1.15886        1.68460    
   0.475000        5.51481       0.899611       0.158691        1.15383        1.68787    
   0.500000        4.71860       0.964417        0.00000       0.915056        1.85090    
   0.525000        3.49399        1.05340      -0.185820       0.588844        2.20214    
   0.550000        2.81218        1.07608      -0.189821       0.452828        2.30140    
   0.575000        2.47927        1.07048      -0.188833       0.408348        2.26369    
   0.600000        2.34962        1.07155      -0.189022       0.383665        2.27576    
   0.625000        2.25135        1.07334      -0.189338       0.373675        2.26101    
   0.650000        2.18277        1.07306      -0.189289       0.361835        2.26185    
   0.675000        2.15528        1.07378      -0.189415       0.355069        2.27039    
   0.700000        2.13073        1.07223      -0.189142       0.352729        2.26164    
   0.725000        2.11914        1.07361      -0.189386       0.350615        2.26518    
   0.750000        2.10657        1.07429      -0.189504       0.348787        2.26578    
   0.775000        2.10647        1.07787      -0.190136       0.347146        2.27865    
   0.800000        2.09505        1.07836      -0.190223       0.345640        2.27845    
   0.825000        2.09245        1.08105      -0.190697       0.344215        2.28744    
   0.850000        2.08328        1.08171      -0.190814       0.343028        2.28776    
   0.875000        2.07533        1.08259      -0.190970       0.341937        2.28890    
   0.900000        2.07310        1.08476      -0.191352       0.340933        2.29562    
   0.925000        2.06745        1.08440      -0.191288       0.340477        2.29326    
   0.950000        2.07089        1.08965      -0.192214       0.338935        2.31152    
   0.975000        2.02541        1.08656      -0.191669       0.337773        2.28343    
    1.00000        2.20890        1.07898      -0.820396E-01   0.373609        2.22372    
    1.03300        2.58140        1.04586        0.00000       0.458893        2.09644    
    1.06700        2.98190        1.01951        0.00000       0.554321        1.99845    
    1.10000        3.32804       0.979473        0.00000       0.646262        1.87853    
    1.13300        3.57238       0.960963        0.00000       0.702311        1.83171    
    1.16700        3.73569       0.953641        0.00000       0.728878        1.82465    
    1.20000        3.85868       0.944108        0.00000       0.754638        1.80430    
    1.23300        3.87141       0.926419        0.00000       0.770315        1.75527    
    1.26700        3.90869       0.921101        0.00000       0.781104        1.74142    
    1.30000        3.91792       0.914228        0.00000       0.787911        1.72298    
    1.33300        3.96248       0.913528        0.00000       0.793859        1.72492    
    1.36700        3.97463       0.906297        0.00000       0.797301        1.71019    
    1.40000        4.00159       0.904761        0.00000       0.793840        1.71680    
    1.43300        4.01089       0.903881        0.00000       0.787870        1.72361    
    1.46700        4.06679       0.918470        0.00000       0.785751        1.76598    
    1.50000        4.06691       0.918490        0.00000       0.785767        1.76602    
